Date,SKU Code,SKU Name,Platform,Ad Spend (₹),Impressions,Clicks,CTR,Ad Orders,Attributed Revenue (₹),ROAS,ACoS
2026-08-09,DA-KOJIC-SERUM-002,FaceSerums,Own Website,365,10220,327,3.20%,46,19274,52.81x,1.9%
2026-08-08,DA-KOJIC-SERUM-002,FaceSerums,Amazon,591,16548,604,3.65%,20,8380,14.18x,7.1%
2026-08-07,DA-KOJIC-SERUM-002,FaceSerums,Flipkart,659,23724,491,2.07%,33,13827,20.98x,4.8%
2026-08-06,DA-KOJIC-SERUM-002,FaceSerums,Meesho,979,26433,1176,4.45%,84,35196,35.95x,2.8%
2026-08-05,DA-KOJIC-SERUM-002,FaceSerums,Myntra,340,8500,351,4.13%,47,19693,57.92x,1.7%
2026-08-04,DA-KOJIC-SERUM-002,FaceSerums,Own Website,1290,41280,1570,3.80%,232,97208,75.36x,1.3%
2026-08-03,DA-KOJIC-SERUM-002,FaceSerums,Amazon,403,6851,360,5.25%,33,13827,34.31x,2.9%
2026-08-02,DA-KOJIC-SERUM-002,FaceSerums,Flipkart,1052,41028,793,1.93%,100,41900,39.83x,2.5%
2026-08-01,DA-KOJIC-SERUM-002,FaceSerums,Meesho,1180,21240,1008,4.75%,42,17598,14.91x,6.7%
2026-07-31,DA-KOJIC-SERUM-002,FaceSerums,Myntra,295,8555,270,3.16%,36,15084,51.13x,2.0%
2026-07-30,DA-KOJIC-SERUM-002,FaceSerums,Own Website,980,24500,724,2.96%,28,11732,11.97x,8.4%
2026-07-29,DA-KOJIC-SERUM-002,FaceSerums,Amazon,464,13920,640,4.60%,76,31844,68.63x,1.5%
2026-07-28,DA-KOJIC-SERUM-002,FaceSerums,Flipkart,812,29232,531,1.82%,76,31844,39.22x,2.5%
2026-08-11,VQ-Serum-001,HairSerum,Myntra,871,24388,818,3.35%,66,27654,31.75x,3.1%
2026-08-10,VQ-Serum-001,HairSerum,Own Website,1289,21913,1151,5.25%,170,71230,55.26x,1.8%
2026-08-09,VQ-Serum-001,HairSerum,Amazon,1160,23200,1198,5.16%,122,51118,44.07x,2.3%
2026-08-08,VQ-Serum-001,HairSerum,Flipkart,602,9632,322,3.34%,21,8799,14.62x,6.8%
2026-08-07,VQ-Serum-001,HairSerum,Meesho,747,13446,655,4.87%,97,40643,54.41x,1.8%
2026-08-06,VQ-Serum-001,HairSerum,Myntra,544,8704,169,1.94%,20,8380,15.40x,6.5%
2026-08-05,VQ-Serum-001,HairSerum,Own Website,207,3933,84,2.14%,5,2095,10.12x,9.9%
2026-08-04,VQ-Serum-001,HairSerum,Amazon,862,33618,1422,4.23%,104,43576,50.55x,2.0%
2026-08-03,VQ-Serum-001,HairSerum,Flipkart,665,13965,500,3.58%,16,6704,10.08x,9.9%
2026-08-02,VQ-Serum-001,HairSerum,Meesho,1134,30618,551,1.80%,36,15084,13.30x,7.5%
2026-08-01,VQ-Serum-001,HairSerum,Myntra,852,18744,557,2.97%,22,9218,10.82x,9.2%
2026-07-31,VQ-Serum-001,HairSerum,Own Website,727,11632,210,1.81%,30,12570,17.29x,5.8%
2026-07-30,VQ-Serum-001,HairSerum,Amazon,638,9570,375,3.92%,22,9218,14.45x,6.9%
2026-07-29,VQ-Serum-001,HairSerum,Flipkart,339,8136,306,3.76%,44,18436,54.38x,1.8%
2026-07-28,VQ-Serum-001,HairSerum,Meesho,684,16416,680,4.14%,73,30587,44.72x,2.2%
2026-08-11,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Own Website,697,20910,383,1.83%,18,7542,10.82x,9.2%
2026-08-10,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Amazon,465,11160,453,4.06%,33,13827,29.74x,3.4%
2026-08-09,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Flipkart,497,16401,855,5.21%,120,50280,101.17x,1.0%
2026-08-08,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Meesho,182,6916,243,3.51%,11,4609,25.32x,3.9%
2026-08-07,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Myntra,817,24510,892,3.64%,73,30587,37.44x,2.7%
2026-08-06,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Own Website,1085,39060,1441,3.69%,101,42319,39.00x,2.6%
2026-08-05,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Amazon,1057,33824,1404,4.15%,126,52794,49.95x,2.0%
2026-08-04,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Flipkart,856,32528,1731,5.32%,222,93018,108.67x,0.9%
2026-08-03,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Meesho,454,12712,521,4.10%,33,13827,30.46x,3.3%
2026-08-02,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Myntra,862,31894,1286,4.03%,145,60755,70.48x,1.4%
2026-08-01,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Own Website,1322,51558,828,1.61%,72,30168,22.82x,4.4%
2026-07-31,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Amazon,522,14094,659,4.68%,45,18855,36.12x,2.8%
2026-07-30,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Flipkart,957,21054,359,1.71%,22,9218,9.63x,10.4%
2026-07-29,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Meesho,1276,22968,942,4.10%,124,51956,40.72x,2.5%
2026-07-28,KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Myntra,663,15912,557,3.50%,42,17598,26.54x,3.8%
2026-08-11,Vitamin C Serum 1,FaceCreamAndGel,Amazon,652,24124,1181,4.90%,143,59917,91.90x,1.1%
2026-08-10,Vitamin C Serum 1,FaceCreamAndGel,Flipkart,591,22458,992,4.42%,44,18436,31.19x,3.2%
2026-08-09,Vitamin C Serum 1,FaceCreamAndGel,Meesho,1074,26850,760,2.83%,45,18855,17.56x,5.7%
2026-08-08,Vitamin C Serum 1,FaceCreamAndGel,Myntra,612,10404,423,4.07%,23,9637,15.75x,6.4%
2026-08-07,Vitamin C Serum 1,FaceCreamAndGel,Own Website,1086,27150,1255,4.62%,150,62850,57.87x,1.7%
2026-08-06,Vitamin C Serum 1,FaceCreamAndGel,Amazon,1161,33669,649,1.93%,59,24721,21.29x,4.7%
2026-08-05,Vitamin C Serum 1,FaceCreamAndGel,Flipkart,814,17908,888,4.96%,64,26816,32.94x,3.0%
2026-08-04,Vitamin C Serum 1,FaceCreamAndGel,Meesho,378,12852,382,2.97%,30,12570,33.25x,3.0%
2026-08-03,Vitamin C Serum 1,FaceCreamAndGel,Myntra,1315,32875,1223,3.72%,142,59498,45.25x,2.2%
2026-08-02,Vitamin C Serum 1,FaceCreamAndGel,Own Website,244,8540,309,3.62%,32,13408,54.95x,1.8%
2026-08-01,Vitamin C Serum 1,FaceCreamAndGel,Amazon,1317,43461,1700,3.91%,130,54470,41.36x,2.4%
2026-07-31,Vitamin C Serum 1,FaceCreamAndGel,Flipkart,902,18040,374,2.07%,48,20112,22.30x,4.5%
2026-07-30,Vitamin C Serum 1,FaceCreamAndGel,Meesho,222,5328,186,3.49%,16,6704,30.20x,3.3%
2026-07-29,Vitamin C Serum 1,FaceCreamAndGel,Myntra,1182,22458,676,3.01%,58,24302,20.56x,4.9%
2026-07-28,Vitamin C Serum 1,FaceCreamAndGel,Own Website,1162,45318,1308,2.89%,151,63269,54.45x,1.8%
2026-08-11,DA-SALI-FW-03,Facewash,Flipkart,1133,36256,1886,5.20%,219,91761,80.99x,1.2%
2026-08-10,DA-SALI-FW-03,Facewash,Meesho,210,5460,112,2.05%,7,2933,13.97x,7.2%
2026-08-09,DA-SALI-FW-03,Facewash,Myntra,704,20416,314,1.54%,13,5447,7.74x,12.9%
2026-08-08,DA-SALI-FW-03,Facewash,Own Website,1034,19646,399,2.03%,13,5447,5.27x,19.0%
2026-08-07,DA-SALI-FW-03,Facewash,Amazon,380,8360,333,3.98%,41,17179,45.21x,2.2%
2026-08-06,DA-SALI-FW-03,Facewash,Flipkart,544,10336,285,2.76%,18,7542,13.86x,7.2%
2026-08-05,DA-SALI-FW-03,Facewash,Meesho,580,19720,446,2.26%,38,15922,27.45x,3.6%
2026-08-04,DA-SALI-FW-03,Facewash,Myntra,1337,42784,796,1.86%,53,22207,16.61x,6.0%
2026-08-03,DA-SALI-FW-03,Facewash,Own Website,396,10296,272,2.64%,17,7123,17.99x,5.6%
2026-08-02,DA-SALI-FW-03,Facewash,Amazon,1329,51831,1321,2.55%,81,33939,25.54x,3.9%
2026-08-01,DA-SALI-FW-03,Facewash,Flipkart,276,6624,350,5.28%,39,16341,59.21x,1.7%
2026-07-31,DA-SALI-FW-03,Facewash,Meesho,500,9000,221,2.46%,9,3771,7.54x,13.3%
2026-07-30,DA-SALI-FW-03,Facewash,Myntra,618,16686,630,3.78%,69,28911,46.78x,2.1%
2026-07-29,DA-SALI-FW-03,Facewash,Own Website,1101,31929,1272,3.98%,75,31425,28.54x,3.5%
2026-07-28,DA-SALI-FW-03,Facewash,Amazon,339,8136,191,2.35%,15,6285,18.54x,5.4%
2026-08-11,CON-RW-NHS,ComboAndKit,Meesho,1217,34076,1383,4.06%,104,43576,35.81x,2.8%
2026-08-10,CON-RW-NHS,ComboAndKit,Myntra,611,23218,536,2.31%,56,23464,38.40x,2.6%
2026-08-09,CON-RW-NHS,ComboAndKit,Own Website,604,10268,328,3.19%,21,8799,14.57x,6.9%
2026-08-08,CON-RW-NHS,ComboAndKit,Amazon,1339,37492,1792,4.78%,246,103074,76.98x,1.3%
2026-08-07,CON-RW-NHS,ComboAndKit,Flipkart,837,12555,255,2.03%,28,11732,14.02x,7.1%
2026-08-06,CON-RW-NHS,ComboAndKit,Meesho,1309,47124,1857,3.94%,183,76677,58.58x,1.7%
2026-08-05,CON-RW-NHS,ComboAndKit,Myntra,355,9230,217,2.35%,8,3352,9.44x,10.6%
2026-08-04,CON-RW-NHS,ComboAndKit,Own Website,1243,27346,767,2.80%,67,28073,22.58x,4.4%
2026-08-03,CON-RW-NHS,ComboAndKit,Amazon,202,5252,249,4.74%,8,3352,16.59x,6.0%
2026-08-02,CON-RW-NHS,ComboAndKit,Flipkart,1044,38628,602,1.56%,67,28073,26.89x,3.7%
2026-08-01,CON-RW-NHS,ComboAndKit,Meesho,156,2652,80,3.02%,12,5028,32.23x,3.1%
2026-07-31,CON-RW-NHS,ComboAndKit,Myntra,222,5550,303,5.46%,34,14246,64.17x,1.6%
2026-07-30,CON-RW-NHS,ComboAndKit,Own Website,602,23478,956,4.07%,45,18855,31.32x,3.2%
2026-07-29,CON-RW-NHS,ComboAndKit,Amazon,1074,39738,1777,4.47%,186,77934,72.56x,1.4%
2026-07-28,CON-RW-NHS,ComboAndKit,Flipkart,879,18459,704,3.81%,69,28911,32.89x,3.0%
2026-08-11,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Myntra,151,3322,62,1.87%,9,3771,24.97x,4.0%
2026-08-10,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Own Website,161,2898,101,3.49%,12,5028,31.23x,3.2%
2026-08-09,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Amazon,226,8136,347,4.26%,32,13408,59.33x,1.7%
2026-08-08,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Flipkart,698,24430,1100,4.50%,116,48604,69.63x,1.4%
2026-08-07,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Meesho,172,4816,254,5.27%,30,12570,73.08x,1.4%
2026-08-06,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Myntra,717,25095,942,3.75%,46,19274,26.88x,3.7%
2026-08-05,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Own Website,991,34685,1582,4.56%,205,85895,86.68x,1.2%
2026-08-04,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Amazon,958,33530,1065,3.18%,42,17598,18.37x,5.4%
2026-08-03,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Flipkart,1014,39546,1795,4.54%,242,101398,100.00x,1.0%
2026-08-02,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Meesho,505,13635,530,3.89%,44,18436,36.51x,2.7%
2026-08-01,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Myntra,509,11198,407,3.63%,38,15922,31.28x,3.2%
2026-07-31,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Own Website,387,6966,358,5.14%,16,6704,17.32x,5.8%
2026-07-30,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Amazon,193,5404,245,4.53%,32,13408,69.47x,1.4%
2026-07-29,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Flipkart,307,5833,135,2.31%,18,7542,24.57x,4.1%
2026-07-28,Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Meesho,643,10931,360,3.29%,13,5447,8.47x,11.8%
2026-08-11,DA-Cleanser-002,Facewash,Own Website,551,9367,302,3.22%,16,6704,12.17x,8.2%
2026-08-10,DA-Cleanser-002,Facewash,Amazon,485,9700,291,3.00%,16,6704,13.82x,7.2%
2026-08-09,DA-Cleanser-002,Facewash,Flipkart,959,19180,831,4.33%,93,38967,40.63x,2.5%
2026-08-08,DA-Cleanser-002,Facewash,Meesho,956,35372,1052,2.97%,68,28492,29.80x,3.4%
2026-08-07,DA-Cleanser-002,Facewash,Myntra,848,19504,673,3.45%,96,40224,47.43x,2.1%
2026-08-06,DA-Cleanser-002,Facewash,Own Website,324,10368,171,1.65%,9,3771,11.64x,8.6%
2026-08-05,DA-Cleanser-002,Facewash,Amazon,606,11514,525,4.56%,66,27654,45.63x,2.2%
2026-08-04,DA-Cleanser-002,Facewash,Flipkart,739,17736,940,5.30%,69,28911,39.12x,2.6%
2026-08-03,DA-Cleanser-002,Facewash,Meesho,524,14148,719,5.08%,83,34777,66.37x,1.5%
2026-08-02,DA-Cleanser-002,Facewash,Myntra,716,27924,726,2.60%,77,32263,45.06x,2.2%
2026-08-01,DA-Cleanser-002,Facewash,Own Website,341,9889,317,3.21%,18,7542,22.12x,4.5%
2026-07-31,DA-Cleanser-002,Facewash,Amazon,1294,36232,1216,3.36%,157,65783,50.84x,2.0%
2026-07-30,DA-Cleanser-002,Facewash,Flipkart,300,7500,230,3.07%,27,11313,37.71x,2.7%
2026-07-29,DA-Cleanser-002,Facewash,Meesho,1197,43092,1694,3.93%,148,62012,51.81x,1.9%
2026-07-28,DA-Cleanser-002,Facewash,Myntra,574,14924,365,2.45%,23,9637,16.79x,6.0%
2026-08-11,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Amazon,1190,17850,495,2.77%,16,6704,5.63x,17.8%
2026-08-10,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Flipkart,701,26638,423,1.59%,20,8380,11.95x,8.4%
2026-08-09,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Meesho,926,13890,746,5.37%,112,46928,50.68x,2.0%
2026-08-08,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Myntra,530,20140,605,3.00%,59,24721,46.64x,2.1%
2026-08-07,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Own Website,1257,46509,2032,4.37%,76,31844,25.33x,3.9%
2026-08-06,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Amazon,240,7200,135,1.88%,12,5028,20.95x,4.8%
2026-08-05,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Flipkart,736,19872,432,2.17%,28,11732,15.94x,6.3%
2026-08-04,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Meesho,1038,34254,1723,5.03%,59,24721,23.82x,4.2%
2026-08-03,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Myntra,338,9126,492,5.39%,61,25559,75.62x,1.3%
2026-08-02,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Own Website,934,24284,858,3.53%,125,52375,56.08x,1.8%
2026-08-01,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Amazon,196,4508,141,3.13%,17,7123,36.34x,2.8%
2026-07-31,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Flipkart,975,18525,761,4.11%,81,33939,34.81x,2.9%
2026-07-30,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Meesho,680,25840,1151,4.45%,74,31006,45.60x,2.2%
2026-07-29,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Myntra,816,17952,594,3.31%,32,13408,16.43x,6.1%
2026-07-28,VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Own Website,273,9828,175,1.78%,23,9637,35.30x,2.8%
2026-08-11,DA-Sunscreen-Body-Lotion-002,Sunscreen,Flipkart,898,18858,617,3.27%,81,33939,37.79x,2.6%
2026-08-10,DA-Sunscreen-Body-Lotion-002,Sunscreen,Meesho,1163,41868,2227,5.32%,181,75839,65.21x,1.5%
2026-08-09,DA-Sunscreen-Body-Lotion-002,Sunscreen,Myntra,1017,18306,780,4.26%,51,21369,21.01x,4.8%
2026-08-08,DA-Sunscreen-Body-Lotion-002,Sunscreen,Own Website,726,28314,1034,3.65%,133,55727,76.76x,1.3%
2026-08-07,DA-Sunscreen-Body-Lotion-002,Sunscreen,Amazon,352,8448,168,1.99%,23,9637,27.38x,3.7%
2026-08-06,DA-Sunscreen-Body-Lotion-002,Sunscreen,Flipkart,1322,22474,985,4.38%,67,28073,21.24x,4.7%
2026-08-05,DA-Sunscreen-Body-Lotion-002,Sunscreen,Meesho,621,9315,330,3.54%,35,14665,23.62x,4.2%
2026-08-04,DA-Sunscreen-Body-Lotion-002,Sunscreen,Myntra,498,15936,850,5.33%,52,21788,43.75x,2.3%
2026-08-03,DA-Sunscreen-Body-Lotion-002,Sunscreen,Own Website,388,7372,275,3.73%,23,9637,24.84x,4.0%
2026-08-02,DA-Sunscreen-Body-Lotion-002,Sunscreen,Amazon,1215,27945,1236,4.42%,44,18436,15.17x,6.6%
2026-08-01,DA-Sunscreen-Body-Lotion-002,Sunscreen,Flipkart,262,4716,221,4.69%,23,9637,36.78x,2.7%
2026-07-31,DA-Sunscreen-Body-Lotion-002,Sunscreen,Meesho,1113,16695,759,4.55%,95,39805,35.76x,2.8%
2026-07-30,DA-Sunscreen-Body-Lotion-002,Sunscreen,Myntra,235,5405,277,5.12%,40,16760,71.32x,1.4%
2026-07-29,DA-Sunscreen-Body-Lotion-002,Sunscreen,Own Website,273,4914,147,2.99%,20,8380,30.70x,3.3%
2026-07-28,DA-Sunscreen-Body-Lotion-002,Sunscreen,Amazon,802,30476,1454,4.77%,185,77515,96.65x,1.0%
2026-08-11,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Meesho,1166,41976,1801,4.29%,269,112711,96.66x,1.0%
2026-08-10,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Myntra,261,8091,374,4.62%,41,17179,65.82x,1.5%
2026-08-09,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Own Website,800,19200,516,2.69%,78,32682,40.85x,2.4%
2026-08-08,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Amazon,615,23370,774,3.31%,115,48185,78.35x,1.3%
2026-08-07,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Flipkart,1252,33804,1516,4.48%,196,82124,65.59x,1.5%
2026-08-06,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Meesho,217,8463,363,4.29%,52,21788,100.41x,1.0%
2026-08-05,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Myntra,881,30835,1513,4.91%,181,75839,86.08x,1.2%
2026-08-04,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Own Website,150,3000,77,2.57%,7,2933,19.55x,5.1%
2026-08-03,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Amazon,994,28826,1118,3.88%,106,44414,44.68x,2.2%
2026-08-02,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Flipkart,591,15366,734,4.78%,84,35196,59.55x,1.7%
2026-08-01,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Meesho,619,19808,306,1.54%,42,17598,28.43x,3.5%
2026-07-31,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Myntra,588,15288,308,2.01%,14,5866,9.98x,10.0%
2026-07-30,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Own Website,267,4272,90,2.11%,9,3771,14.12x,7.1%
2026-07-29,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Amazon,566,18678,597,3.20%,30,12570,22.21x,4.5%
2026-07-28,Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",Flipkart,288,9504,421,4.43%,16,6704,23.28x,4.3%
2026-08-11,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Myntra,867,13872,352,2.54%,41,17179,19.81x,5.0%
2026-08-10,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Own Website,191,3820,202,5.29%,14,5866,30.71x,3.3%
2026-08-09,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Amazon,810,19440,838,4.31%,83,34777,42.93x,2.3%
2026-08-08,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Flipkart,917,32095,1196,3.73%,80,33520,36.55x,2.7%
2026-08-07,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Meesho,982,35352,597,1.69%,41,17179,17.49x,5.7%
2026-08-06,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Myntra,1297,35019,579,1.65%,28,11732,9.05x,11.1%
2026-08-05,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Own Website,948,21804,766,3.51%,101,42319,44.64x,2.2%
2026-08-04,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Amazon,787,17314,873,5.04%,102,42738,54.30x,1.8%
2026-08-03,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Flipkart,697,16031,351,2.19%,48,20112,28.86x,3.5%
2026-08-02,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Meesho,752,22560,1120,4.96%,115,48185,64.08x,1.6%
2026-08-01,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Myntra,233,5359,119,2.22%,6,2514,10.79x,9.3%
2026-07-31,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Own Website,885,13275,307,2.31%,23,9637,10.89x,9.2%
2026-07-30,VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",Amazon,215,6020,200,3.32%,13,5447,25.33x,3.9%
